package,old,new,delta
blorr,0.3.0,0.3.1,*
abind,1.4-8,1.4-8,
backports,1.5.0,1.5.0,
broom,1.0.7,1.0.7,
car,3.1-3,3.1-3,
carData,3.0-5,3.0-5,
cli,3.6.3,3.6.3,
colorspace,2.1-1,2.1-1,
cowplot,1.1.3,1.1.3,
cpp11,0.5.0,0.5.0,
data.table,1.16.2,1.16.2,
Deriv,4.1.6,4.1.6,
doBy,4.6.24,4.6.24,
dplyr,1.1.4,1.1.4,
fansi,1.0.6,1.0.6,
farver,2.1.2,2.1.2,
Formula,1.2-5,1.2-5,
generics,0.1.3,0.1.3,
ggplot2,3.5.1,3.5.1,
glue,1.8.0,1.8.0,
gridExtra,2.3,2.3,
gtable,0.3.6,0.3.6,
isoband,0.2.7,0.2.7,
labeling,0.4.3,0.4.3,
lest,1.1.0,NA,*
lifecycle,1.0.4,1.0.4,
lme4,1.1-35.5,1.1-35.5,
magrittr,2.0.3,2.0.3,
MatrixModels,0.5-3,0.5-3,
microbenchmark,1.5.0,1.5.0,
minqa,1.2.8,1.2.8,
modelr,0.1.11,0.1.11,
munsell,0.5.1,0.5.1,
nloptr,2.1.1,2.1.1,
numDeriv,2016.8-1.1,2016.8-1.1,
pbkrtest,0.5.3,0.5.3,
pillar,1.9.0,1.9.0,
pkgconfig,2.0.3,2.0.3,
purrr,1.0.2,1.0.2,
quantreg,5.99,5.99,
R6,2.5.1,2.5.1,
RColorBrewer,1.1-3,1.1-3,
Rcpp,1.0.13-1,1.0.13-1,
RcppEigen,0.3.4.0.2,0.3.4.0.2,
rlang,1.1.4,1.1.4,
scales,1.3.0,1.3.0,
SparseM,1.84-2,1.84-2,
stringi,1.8.4,1.8.4,
stringr,1.5.1,1.5.1,
tibble,3.2.1,3.2.1,
tidyr,1.3.1,1.3.1,
tidyselect,1.2.1,1.2.1,
utf8,1.2.4,1.2.4,
vctrs,0.6.5,0.6.5,
viridisLite,0.4.2,0.4.2,
withr,3.0.2,3.0.2,
